DATE,TIME_M,SYM_ROOT,SYM_SUFFIX,SIZE,PRICE
20210316,4:12:46.961749600,TSLA,,1,704.91
20210316,4:12:48.935164810,TSLA,,24,704.91
20210316,4:12:48.935169103,TSLA,,30,704.98
20210316,4:12:48.939443344,TSLA,,1,704.99
20210316,4:12:53.754981188,TSLA,,2,705
20210316,4:12:53.755066114,TSLA,,50,705
20210316,4:12:53.755069616,TSLA,,1,705
20210316,4:12:53.765578776,TSLA,,8,705.44
20210316,4:12:53.766137280,TSLA,,1,705.4
20210316,4:12:53.767809971,TSLA,,24,705.44
20210316,4:12:53.834209108,TSLA,,5,705.53
20210316,4:12:53.834353974,TSLA,,1,705.53
20210316,4:12:53.896042613,TSLA,,13,705.53
20210316,4:12:53.896193295,TSLA,,1,705.53
20210316,4:13:00.448545591,TSLA,,20,705.53
20210316,4:13:04.388499506,TSLA,,1,705.53
20210316,4:13:09.032815217,TSLA,,8,705.53
20210316,4:13:21.933746799,TSLA,,1,705.62
20210316,4:13:32.323652846,TSLA,,5,705.89
20210316,4:13:33.104266173,TSLA,,25,705.63
20210316,4:13:37.922499460,TSLA,,5,705.63
20210316,4:13:44.548696734,TSLA,,4,705.67
20210316,4:13:44.549120774,TSLA,,11,705.64
20210316,4:13:44.549120990,TSLA,,17,705.64
20210316,4:13:44.549121136,TSLA,,2,705.53
20210316,4:13:44.549122562,TSLA,,10,705.53
20210316,4:13:44.550689548,TSLA,,61,705.57
20210316,4:13:44.550692502,TSLA,,4,705.53
20210316,4:13:49.943452542,TSLA,,91,705.53
20210316,4:13:51.308734558,TSLA,,25,705.27
20210316,4:13:51.308737806,TSLA,,25,705.26
20210316,4:13:51.308740803,TSLA,,20,705.05
20210316,4:13:51.308744112,TSLA,,2,705
20210316,4:13:51.308746608,TSLA,,28,704.99
20210316,4:13:51.309320956,TSLA,,9,705.53
20210316,4:14:14.003425392,TSLA,,2,705.05
20210316,4:14:14.384578448,TSLA,,1,705.49
20210316,4:14:28.986601189,TSLA,,1,705.75
20210316,4:14:31.857727286,TSLA,,8,705.49
20210316,4:14:50.686239844,TSLA,,5,705.75
20210316,4:14:58.880488854,TSLA,,9,705.52
